Index,poll_id,content,x,y,group_0,group_1,group_2
1,MAAS_p1,I'm happy with the current mobility system in my city.,0.292495289,-0.711639245,0.114993366,0.364203832,0.159090909
2,MAAS_p2,I can imagine a world without individually owned cars.,-0.463174111,-0.100878215,0.357142857,0.263036484,0.225806452
3,MAAS_p3,I wish there would be less cars on the streets.,0.630233291,-0.19911694,0.198079232,0.137254902,0.415571919
4,MAAS_p4,There is a big historical change coming in transport and city life.,-0.504797182,-0.21252715,0.47766475,0.184459219,0.218740325
