ID,S Leitsatz 1,S Leitsatz 2,S Leitsatz 3,S Leitsatz 4,S Leitsatz 5,S Leitsatz 6,L Leitsatz 1,L Leitsatz 2,L Leitsatz 3,L Leitsatz 4,L Leitsatz 5,x,y,cluster
958437668,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.9593712437929867,-2.9409169989315913,0.0
91151736,1.0,-1.0,-1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,-1.0,0.8767716938793344,-0.4844631716654839,1.0
237572389,2.0,1.0,2.0,-2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,-0.7218760078912486,3.821288152369973,1.0
1579866814,-2.0,-1.0,-1.0,2.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,2.869602605307279,-1.0978481995287173,0.0
1541858815,-1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.856637978855834,-1.9684269940750716,1.0
934832385,-2.0,-2.0,-2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.9141727156397392,-2.9440619435693107,0.0
125394,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.0,1.199570431572873,-0.9770223739311645,1.0
377996882,-2.0,2.0,-1.0,2.0,-1.0,1.0,1.0,-1.0,2.0,2.0,1.0,1.6222384107607202,0.4637310187786678,1.0
1493484883,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,-1.8702902402544292,0.18095098243747232,1.0
844750595,-2.0,-2.0,-2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.317439264589356,-2.1804138159694513,0.0
756410560,2.0,2.0,2.0,1.0,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,-3.014236816869421,0.888006081291966,1.0
507820673,-2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,-1.0,2.0,2.0,1.0,3.703130697159526,-1.4370240441472284,0.0
1561496398,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,-1.6743208054663665,-1.0832157527052872,1.0
1889928668,-2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.3905759617669633,0.14395665050860945,1.0
