comment-id,timestamp,datetime,author-id,agrees,disagrees,moderated,comment-body,x,y,group_0,group_1
409,1518102207799,Thu Feb 08 22:03:27 WIB 2018,754,140,50,1,The rental market prices are well beyond an affordable housing level and needs to be addressed given the number of renters in BG.,-2.594704023963989,-0.8748370913867325,0.6666666666666666,1.5
408,1518102036774,Thu Feb 08 22:00:36 WIB 2018,756,33,44,1,BG needs an indoor tennis option,-2.537935928282819,-0.8941385614776007,0.6666666666666666,1.5
407,1518101258243,Thu Feb 08 21:47:38 WIB 2018,746,103,86,1,"BG needs to install traffic cameras that help police intersections like Gallatin, TN.  This would reduce accidents, traffic flow and add $",-2.5523691695807402,-0.8280204553997648,1.0,1.0
406,1518101256725,Thu Feb 08 21:47:36 WIB 2018,1,1,0,-1,A vote should be held on consolidating Warren County and Bowling Green into a metro form of government.,-2.59474623560162,-0.8746283118392568,0.6666666666666666,1.5
405,1518100607678,Thu Feb 08 21:36:47 WIB 2018,746,226,42,1,Allow residence of an area to vote on new developments that might have impact on them opposed to commissioners/magistrates getting kickbacks,-2.5813408746323376,-0.8611075908470915,0.6666666666666666,1.5
404,1518090045461,Thu Feb 08 18:40:45 WIB 2018,726,214,47,1,Temporary housing for the homeless in the community.,-2.584262662182769,-0.8853791226301371,2.1323031526136065,0.22213096040375518
402,1518075912430,Thu Feb 08 14:45:12 WIB 2018,721,1,0,-1,OK,-2.5532973784001505,-0.8765349216793511,1.351198858931664,0.3141475732058657
401,1518064487138,Thu Feb 08 11:34:47 WIB 2018,694,1,0,-1,"Merger of City/County governments should greatly reduce expenses, duplicate services, competition, etc.",-2.5497432677923713,-0.8497695059403224,1.1453777657544895,0.0007681400706374548
400,1518064295653,Thu Feb 08 11:31:35 WIB 2018,709,121,103,1,Bowling Green needs an indoor / outdoor sports event complex/,-2.573891694320048,-0.831012240157659,2.289368425273131,0.24496060257940777
399,1518064262371,Thu Feb 08 11:31:02 WIB 2018,694,1,0,-1,"Merging of City/County schools systems - should help lessen duplicate services, reduce traffic, greater sense of community, less rivalry.",-2.5600265093432855,-0.8574156613838294,0.7310410671899175,0.3630665079689444
398,1518062601826,Thu Feb 08 11:03:21 WIB 2018,706,164,29,1,"Bowling Green would be better if it didn't have the ""Good Ole Boy"" system among so many.",-2.5575455384410466,-0.872512162433372,0.41025641024777,5.3454852574622166e-08
397,1518062119493,Thu Feb 08 10:55:19 WIB 2018,704,1,0,-1,Traffic needs to be addressed. The side streets on Scottsville road are dangerous and should be removed.,-2.542029933220253,-0.8233081607957209,3.520429821679304,0.14933333333327706
396,1518060394547,Thu Feb 08 10:26:34 WIB 2018,679,1,0,-1,Bowling Green definitely does Not need a fairness ordinance.,-2.577569156513171,-0.8572249007176767,1.5,0.6666666666666666
395,1518059865412,Thu Feb 08 10:17:45 WIB 2018,690,55,47,1,City residents do not receive adequate return on County Taxes paid.,-2.5925948550348537,-0.8600122777562069,2.2182578505003354,0.10358056265982782
394,1518059578888,Thu Feb 08 10:12:58 WIB 2018,690,96,45,1,"Five lane Cemetery Road from Interchange to By Pass, except four lanes through the Cemetery with median prohibiting left turns.",-2.5947621364348015,-0.8739499340187382,1.0,1.0
393,1518058396016,Thu Feb 08 09:53:16 WIB 2018,668,1,0,-1,don't have any,-2.607199019709991,-0.8760261602323212,0.9764207146305729,0.10969309083338052
392,1518057561776,Thu Feb 08 09:39:21 WIB 2018,632,267,47,1,More parking downtown.  There are too many reserved spaces which should be available in the evening.,-2.5593563298733297,-0.9108468156395558,2.5157247504440203,0.24190985104008467
391,1518057296588,Thu Feb 08 09:34:56 WIB 2018,641,1,0,-1,Combine resources of city and county schools by merging to address budget shortfall and improve education for our children,-2.594041173398587,-0.8741511863562944,0.6666666666666666,1.5
390,1518057242621,Thu Feb 08 09:34:02 WIB 2018,641,1,0,-1,Enforce leash law in the city,-2.5591151517221244,-0.8760848634149687,1.541498326947046,0.42833341064780284
389,1518056713086,Thu Feb 08 09:25:13 WIB 2018,669,1,0,-1,MAGA!,-2.5634002956660016,-0.8725120769322527,1.0,1.0
388,1518056618502,Thu Feb 08 09:23:38 WIB 2018,669,1,0,-1,"DON'T VOTE FOR PATTI MINTER.  SHE CALLS ANYONE WHO DISAGREES WITH HER ON ANY SUBJECT A ""RACIST.""  SHE IS LIVES IN FANTASY LAND ON THE HILL.",-2.5504433010559873,-0.8299455283299655,0.4485751462479655,0.3443619193755624
